strategia,intervallo,configurazioni,buy_hold_%,migliore_%,mediana_%,in_utile_%,batte_bh_%,sharpe_migliore,dd_del_migliore_%,trade_anno_mediani
band_reversion_gated,1d,30,4346.0,51.7,-82.9,20.0,0.0,0.44,43.5,4.4
donchian_breakout,1d,187,4346.0,8611.5,328.0,94.1,3.2,1.41,75.4,3.2
ichimoku_trend,1d,11,4346.0,274.9,15.9,54.5,0.0,0.69,72.7,6.8
squeeze_breakout,1d,73,4346.0,5043.4,62.5,72.6,1.4,1.35,66.3,5.0
trend_pullback,1d,72,4346.0,580.6,89.9,59.7,0.0,1.21,28.5,11.4
