fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,216,-1.01,3770.24,50.0,0.62,2.76,58.79
10-30,258,-14.19,1217.55,36.82,-0.06,14.9,86.5
30-100,544,-25.28,2398.83,38.24,0.11,58.28,84.64
100-300,1250,-66.03,4992.18,18.96,-0.06,123.84,93.25
300-1000,779,-88.61,1413.24,2.95,-0.11,343.91,97.72
>1000,56,-99.99,-63.91,0.0,-0.17,112.07,99.99
