fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,2831,32.61,1135.53,69.37,3.96,1.2,60.0
10-30,54,212.14,1503.05,100.0,2.71,28.19,59.1
30-100,9,928.61,1584.91,100.0,1.94,179.52,48.21
