fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,1543,26.81,5439.91,64.81,2.75,2.14,68.09
10-30,1167,141.78,4019.78,85.95,1.77,17.77,76.99
30-100,273,36.48,10177.65,63.37,0.41,36.7,64.39
100-300,23,206.42,410.11,95.65,0.22,263.41,72.9
