periodo,buy_hold_%,max_drawdown_%
intero,593.8,94.0
stima 2017-2021,1117.3,94.0
verifica 2022-2026,-44.4,74.0
walk-forward 2019-2026,1406.4,79.3
2017,143.0,44.6
2018,-82.6,94.0
2019,-7.1,64.1
2020,463.1,62.2
2021,404.3,57.2
2022,-68.2,74.0
2023,90.1,27.3
2024,41.9,45.3
2025,-11.6,60.0
2026,-30.3,53.3
