coppia,rotazione_%,Sharpe,DD_%,tieni_il_1o_%,tieni_il_2o_%,meta_e_meta_%
BTC/ETH,136.2,0.97,43.1,55.6,-10.9,22.4
BTC/SOL,-17.8,0.07,51.8,55.6,-25.5,15.1
BTC/XRP,107.1,0.8,49.6,55.6,69.7,62.7
BTC/BNB,48.0,0.56,48.0,55.6,97.4,76.5
ETH/SOL,78.6,0.68,52.1,-10.9,-25.5,-18.2
ETH/XRP,30.5,0.45,58.6,-10.9,69.7,29.4
ETH/BNB,54.5,0.58,60.1,-10.9,97.4,43.2
SOL/XRP,165.1,0.91,60.7,-25.5,69.7,22.1
SOL/BNB,0.5,0.26,56.0,-25.5,97.4,35.9
XRP/BNB,156.9,0.88,55.8,69.7,97.4,83.5
