periodo,buy_hold_%,max_drawdown_%
intero,20.0,85.0
stima 2017-2021,-6.8,85.0
verifica 2022-2026,25.6,72.0
walk-forward 2019-2026,196.0,83.2
2018,-60.8,70.9
2019,-46.5,61.6
2020,13.7,69.5
2021,249.4,71.2
2022,-60.2,64.9
2023,81.8,42.1
2024,231.0,42.0
2025,-21.0,49.1
2026,-43.2,57.7
