griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,88,143.8,4.5,-17.7,20.0,197.0,38.7,23.9,-0.36,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=75, num_cond=1"
close_atr,71,267.3,-25.7,-1.2,40.0,178.0,-6.2,29.6,0.16,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,54,328.5,199.3,207.6,100.0,820.5,171.9,57.4,0.45,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,7,70.4,-60.5,-51.7,14.3,7.3,-51.7,28.6,-0.32,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
tp_sl_atr,45,86.5,-87.8,-70.7,10.0,19.9,-64.3,4.4,-0.15,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,310.0,45.4,-0.3,50.0,55.9,-7.0,91.3,0.63,"rsi_window=14, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,152.5,-48.4,-48.4,0.0,-48.4,-48.4,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,2,0.1,-9.9,-11.7,0.0,-9.9,-11.7,50.0,1.0,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
