soglia,operazioni,quota_tenuta_%,precisione_%,netto_medio_%,netto_mediano_%,composto_seq
nessuna,3098,100.0,53.6,0.222,0.417,3.33
0.4,2469,79.7,55.9,0.304,0.596,15.16
0.45,2183,70.5,56.3,0.322,0.64,12.69
0.5,1834,59.2,55.2,0.183,0.593,0.69
0.55,1452,46.9,55.0,0.158,0.565,0.45
0.6,1070,34.5,55.3,0.064,0.579,0.29
0.65,749,24.2,56.2,0.2,0.64,1.01
