fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,1458,-2.44,345.62,47.46,0.7,1.54,53.28
10-30,1282,-19.84,420.16,34.56,0.08,8.18,65.07
30-100,273,-21.88,470.21,27.47,0.06,20.19,59.87
100-300,23,-47.19,31.52,4.35,-0.02,72.07,73.37
