griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_bullish_ema,2023,54.6,20,0.523,"rsi_window=7, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=9/21/55"
close_bullish_ema,2024,77.5,6,0.927,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, ema_triplet=9/21/55"
close_bullish_ema,2025,-21.5,1,0.728,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=9/21/55"
close_bullish_ema,2026,0.0,0,0.728,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=8/13/21"
close_ema_crossover,2022,-21.1,27,0.789,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2023,410.4,23,4.024,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2024,-2.8,26,3.911,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2025,2.3,29,4.0,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2026,-49.8,19,2.009,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
trend_zones,2022,-45.5,12,0.545,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
