strategia,filtro,senza_mediana_%,con_mediana_%,senza_in_utile_%,con_in_utile_%,senza_trade_anno,con_trade_anno
band_reversion_gated,filtro di range (ADX),-14.9,-1.9,16.7,15.7,6.6,0.8
band_reversion_gated,filtro di trend,-5.3,0.0,18.1,13.9,4.2,0.5
donchian_breakout,filtro di trend (EMA lunga),-33.5,-21.5,11.7,26.6,20.2,19.3
donchian_breakout,filtro ADX,-32.6,-28.3,17.2,19.8,23.9,18.8
ichimoku_trend,conferma della nuvola,-20.7,25.9,16.7,66.7,59.9,23.0
squeeze_breakout,conferma di volume (OBV),-72.3,-64.7,1.9,5.6,26.5,22.2
trend_pullback,filtro di trend (EMA lunga),-35.2,-33.9,16.7,20.4,116.3,51.8
