strategia,coppie,mediana_solo_long_%,mediana_con_short_%,short_migliora_%,sharpe_solo_long,sharpe_con_short,contributo_short_mediano_%,win_rate_short_%
band_reversion_gated,72,0.0,0.0,30.6,0.29,0.15,-16.1,52.5
donchian_breakout,128,50.3,14.9,22.7,0.42,0.27,-13.0,33.3
ichimoku_trend,6,25.4,-52.0,16.7,0.29,0.1,-46.4,35.4
squeeze_breakout,54,53.2,-3.8,0.0,0.42,0.12,-48.7,27.3
trend_pullback,36,-77.5,-76.3,47.2,-0.73,-0.5,9.2,58.5
