fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,2800,-6.54,871.3,43.75,2.24,1.36,70.37
10-30,41,65.29,293.02,70.73,1.36,10.81,62.48
30-100,9,24.15,120.5,66.67,0.49,35.66,66.65
