famiglia,strategia,configurazioni,scelta_in_stima_%,resa_in_verifica_%,prime5_mediana_%,mediana_verifica_%,rho
nuova,donchian_breakout,256,214.6,130.7,89.7,56.8,0.38
nuova,ichimoku_trend,12,399.5,61.7,-2.7,6.1,0.53
nuova,band_reversion_gated,55,58.3,10.4,3.1,0.2,0.27
nuova,trend_pullback,72,87.1,5.7,1.1,-1.4,0.34
nuova,squeeze_breakout,108,326.1,5.6,-25.7,2.7,-0.21
