famiglia,strategia,configurazioni,scelta_in_stima_%,resa_in_verifica_%,prime5_mediana_%,mediana_verifica_%,rho
nuova,band_reversion_gated,26,67.9,-27.5,-19.4,-44.7,0.1
nuova,trend_pullback,72,918.1,-37.9,-47.5,-46.0,0.43
nuova,ichimoku_trend,11,412.0,-40.9,-40.9,-34.0,-0.14
nuova,donchian_breakout,173,16555.9,-53.5,-53.5,-26.1,-0.58
nuova,squeeze_breakout,77,10975.3,-53.6,-56.9,-29.1,-0.38
