periodo,buy_hold_%,max_drawdown_%
intero,1504.5,83.2
stima 2017-2021,978.6,83.2
verifica 2022-2026,44.1,66.9
walk-forward 2019-2026,1710.7,76.6
2017,220.1,34.9
2018,-72.3,81.2
2019,89.5,49.4
2020,301.7,53.6
2021,57.6,53.1
2022,-65.3,66.9
2023,154.5,20.0
2024,111.8,26.2
2025,-7.3,32.0
2026,-22.6,39.5
