periodo,buy_hold_%,max_drawdown_%
intero,39287.7,80.0
stima 2017-2021,32452.5,80.0
verifica 2022-2026,17.3,62.9
walk-forward 2019-2026,10228.5,76.1
2017,443.0,28.5
2018,-27.7,80.0
2019,128.9,68.0
2020,172.3,65.0
2021,1253.8,61.4
2022,-53.3,62.9
2023,27.6,41.0
2024,124.0,34.7
2025,22.1,36.8
2026,-28.4,42.4
