periodo,buy_hold_%,max_drawdown_%
intero,36298.8,82.7
stima 2017-2021,29982.4,82.7
verifica 2022-2026,19.4,64.5
walk-forward 2019-2026,10450.7,78.0
2017,401.8,38.8
2018,-26.7,82.7
2019,133.9,68.7
2020,170.4,67.2
2021,1248.5,65.4
2022,-52.5,64.5
2023,27.1,41.3
2024,127.1,39.2
2025,22.5,39.8
2026,-28.8,43.2
