lookback,top,every,regime,rendimento_%,CAGR_%,Sharpe,drawdown_%,ribilanciamenti,turnover_annuo
30,3,14,btc,305.8,28.3,0.77,50.5,93,12.2
30,5,1,none,1461.1,62.9,1.36,37.9,1549,33.6
30,5,1,btc,634.4,42.5,1.18,40.6,1056,27.9
30,5,3,none,2505.7,78.5,1.56,37.1,528,18.6
30,5,3,btc,758.4,46.5,1.25,46.4,366,16.3
30,5,7,none,1287.2,59.6,1.26,37.6,235,12.4
30,5,7,btc,861.5,49.5,1.24,34.7,167,11.3
30,5,14,none,284.7,27.0,0.74,51.0,124,9.2
30,5,14,btc,311.8,28.6,0.83,44.5,93,8.5
60,1,1,none,314.9,28.8,0.71,86.7,651,66.3
60,1,1,btc,1721.9,67.5,1.13,57.6,533,53.5
60,1,3,none,463.3,35.9,0.78,84.1,342,37.2
60,1,3,btc,1460.0,62.9,1.08,61.4,273,31.1
60,1,7,none,217.2,22.8,0.65,87.8,187,23.6
60,1,7,btc,1193.1,57.6,1.03,66.0,150,21.0
60,1,14,none,370.3,31.7,0.74,88.8,108,15.1
60,1,14,btc,1013.9,53.5,0.99,73.1,81,13.0
60,2,1,none,472.5,36.3,0.8,73.7,1531,47.2
60,2,1,btc,1797.5,68.7,1.3,44.6,977,39.0
60,2,3,none,534.4,38.8,0.82,67.7,517,25.0
60,2,3,btc,1276.7,59.3,1.16,47.0,343,21.5
60,2,7,none,269.2,26.1,0.68,76.1,226,17.2
60,2,7,btc,822.4,48.4,1.02,49.8,159,16.8
60,2,14,none,140.1,16.8,0.57,84.7,117,11.0
60,2,14,btc,454.1,35.6,0.87,63.6,85,10.7
60,3,1,none,572.6,40.3,0.88,69.1,1531,39.6
60,3,1,btc,1462.6,63.0,1.33,43.6,977,35.2
60,3,3,none,555.6,39.7,0.87,58.5,517,21.0
60,3,3,btc,1059.2,54.5,1.19,43.5,343,20.0
60,3,7,none,274.4,26.4,0.7,66.6,226,13.9
60,3,7,btc,668.1,43.6,1.03,47.7,159,14.4
60,3,14,none,200.5,21.6,0.63,71.8,117,10.2
60,3,14,btc,419.7,34.0,0.86,54.7,85,9.8
60,5,1,none,428.2,34.4,0.88,58.4,1531,25.2
60,5,1,btc,700.2,44.7,1.23,38.1,977,23.7
60,5,3,none,428.9,34.4,0.88,50.9,517,13.7
60,5,3,btc,609.5,41.6,1.14,36.7,343,13.8
60,5,7,none,259.3,25.5,0.72,66.0,226,9.1
