fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,1469,-9.3,491.37,40.03,0.71,2.1,65.74
10-30,1194,-22.11,433.61,30.65,0.35,10.18,77.3
30-100,299,-26.7,2327.54,33.78,0.15,23.87,76.09
100-300,23,-8.95,80.83,39.13,0.06,108.65,71.06
