strategia,filtro,senza_mediana_%,con_mediana_%,senza_in_utile_%,con_in_utile_%,senza_trade_anno,con_trade_anno
band_reversion_gated,filtro di range (ADX),-5.5,0.0,33.3,8.3,1.3,0.0
band_reversion_gated,filtro di trend,-15.1,0.0,4.2,25.0,0.3,0.0
donchian_breakout,filtro di trend (EMA lunga),13.4,20.1,64.8,78.1,2.8,2.3
donchian_breakout,filtro ADX,31.0,12.9,82.8,67.7,3.1,2.4
ichimoku_trend,conferma della nuvola,30.7,39.8,66.7,83.3,8.8,3.2
squeeze_breakout,conferma di volume (OBV),-9.3,-8.5,38.9,33.3,3.6,3.0
trend_pullback,filtro di trend (EMA lunga),-56.7,-30.4,5.6,13.0,19.4,8.8
