strategia,coppie,mediana_solo_long_%,mediana_con_short_%,short_migliora_%,sharpe_solo_long,sharpe_con_short,contributo_short_mediano_%,win_rate_short_%
band_reversion_gated,72,0.0,0.0,18.1,-0.33,-0.41,-28.1,58.3
donchian_breakout,128,392.4,333.3,34.4,0.87,0.75,-2.5,42.9
ichimoku_trend,6,139.4,-37.7,33.3,0.56,0.2,-92.2,25.9
squeeze_breakout,54,61.6,0.0,5.6,0.58,0.34,-45.1,35.1
trend_pullback,36,119.7,54.3,22.2,0.6,0.4,-10.0,56.8
