periodo,buy_hold_%,max_drawdown_%
intero,2702.5,96.6
stima 2017-2021,5716.8,75.0
verifica 2022-2026,-52.6,95.1
walk-forward 2019-2026,2702.5,96.6
2020,-48.4,75.0
2021,10505.2,60.6
2022,-94.2,95.1
2023,920.3,45.7
2024,83.7,44.3
2025,-34.5,66.1
2026,-34.6,58.1
