strategia,filtro,senza_mediana_%,con_mediana_%,senza_in_utile_%,con_in_utile_%,senza_trade_anno,con_trade_anno
band_reversion_gated,filtro di range (ADX),0.0,0.0,27.8,36.1,0.4,0.0
band_reversion_gated,filtro di trend,0.0,0.0,40.3,27.8,0.5,0.0
donchian_breakout,filtro di trend (EMA lunga),29.0,25.1,69.5,65.6,2.0,1.9
donchian_breakout,filtro ADX,-10.4,36.7,42.2,76.0,2.7,1.8
ichimoku_trend,conferma della nuvola,-22.9,-45.0,33.3,33.3,10.4,2.6
squeeze_breakout,conferma di volume (OBV),15.6,23.9,57.4,59.3,4.7,4.0
trend_pullback,filtro di trend (EMA lunga),-94.8,-73.3,0.0,14.8,17.9,7.3
