fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,2705,72.8,2760.6,73.94,8.37,1.15,64.05
10-30,54,189.14,1220.72,75.93,2.96,16.16,74.44
30-100,10,31.45,180.02,60.0,1.29,31.23,81.56
