griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_bullish_ema,2023,23.0,8,0.774,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=12/26/50"
close_bullish_ema,2024,44.9,14,1.122,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=12/26/50"
close_bullish_ema,2025,-5.1,4,1.065,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=8/13/21"
close_bullish_ema,2026,1.7,2,1.083,"rsi_window=7, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=50/100/200"
close_ema_crossover,2022,-29.7,15,0.703,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
close_ema_crossover,2023,-27.1,15,0.513,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
close_ema_crossover,2024,54.1,16,0.79,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
close_ema_crossover,2025,16.2,20,0.918,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2026,-18.1,10,0.752,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
trend_zones,2022,-27.3,17,0.727,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=5, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2023,26.7,9,0.92,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2024,1.3,4,0.932,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2025,22.7,11,1.144,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2026,-17.1,4,0.949,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2022,-53.7,203,0.463,"rsi_window=7, rsi_window2=50, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2023,12.4,130,0.521,"rsi_window=21, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2024,74.6,132,0.909,"rsi_window=21, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2025,16.7,140,1.061,"rsi_window=21, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2026,-33.6,86,0.704,"rsi_window=21, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2022,-11.1,63,0.889,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2023,-14.5,76,0.76,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2024,63.0,88,1.238,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2025,28.2,78,1.587,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2026,-4.4,57,1.517,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,2022,-59.6,34,0.404,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2023,17.9,25,0.476,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2024,44.7,21,0.689,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2025,0.2,19,0.69,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2026,-9.7,16,0.623,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
