strategia,coppie,mediana_solo_long_%,mediana_con_short_%,short_migliora_%,sharpe_solo_long,sharpe_con_short,contributo_short_mediano_%,win_rate_short_%
band_reversion_gated,72,0.0,0.0,20.8,0.18,0.04,23.4,57.0
donchian_breakout,128,28.2,17.3,37.5,0.33,0.26,-5.9,44.1
ichimoku_trend,6,-5.3,-43.1,0.0,0.09,-0.08,-36.1,30.7
squeeze_breakout,54,47.1,-0.5,11.1,0.48,0.13,-33.8,31.2
trend_pullback,36,-9.3,-28.1,30.6,0.02,-0.07,-17.1,51.6
