strategia,filtro,senza_mediana_%,con_mediana_%,senza_in_utile_%,con_in_utile_%,senza_trade_anno,con_trade_anno
band_reversion_gated,filtro di range (ADX),-21.6,0.0,19.4,5.6,0.6,0.0
band_reversion_gated,filtro di trend,-21.6,0.0,0.0,18.1,0.3,0.0
donchian_breakout,filtro di trend (EMA lunga),396.4,325.1,93.8,97.7,2.8,2.3
donchian_breakout,filtro ADX,479.1,320.9,100.0,94.3,3.2,2.5
ichimoku_trend,conferma della nuvola,43.0,42.7,66.7,50.0,9.1,2.8
squeeze_breakout,conferma di volume (OBV),59.3,14.9,61.1,59.3,3.6,3.2
trend_pullback,filtro di trend (EMA lunga),-32.8,114.0,38.9,66.7,18.9,7.9
