fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,1480,5.56,7783.82,51.89,3.3,2.61,85.93
10-30,1158,-21.69,8712.88,40.67,0.91,16.65,92.14
30-100,288,49.76,3831.13,66.67,0.73,56.65,88.22
100-300,23,500.43,1083.49,95.65,0.31,410.44,79.62
