lookback,top,every,regime,stima_%,stima_Sharpe,verifica_%,verifica_Sharpe,verifica_DD_%
90,3,7,btc,1800.2,1.83,-8.8,0.14,56.7
20,5,7,btc,1141.2,1.73,-3.1,0.22,61.8
90,3,3,btc,1191.2,1.68,-7.3,0.15,58.6
60,5,1,btc,811.0,1.65,26.8,0.43,50.1
20,3,7,btc,1245.0,1.64,2.7,0.29,67.0
60,3,7,btc,1007.8,1.63,-19.8,0.11,67.4
30,5,7,btc,934.1,1.62,-5.3,0.2,59.8
90,5,7,btc,751.3,1.61,-32.0,-0.14,57.5
30,5,3,btc,953.2,1.61,25.7,0.42,55.4
10,5,7,btc,848.9,1.6,13.4,0.34,57.9
