griglia,anni,rendimento_%,anni_in_utile_%,anno_peggiore_%,anno_migliore_%,cambi_di_configurazione
close_buy_sell_limits,1,7.1,100.0,7.1,7.1,1
close_atr,1,67.8,100.0,67.8,67.8,1
atr_bands,1,-27.1,0.0,-27.1,-27.1,1
supertrend,1,-37.1,0.0,-37.1,-37.1,1
tp_sl_atr,1,-3.9,0.0,-3.9,-3.9,1
close_bullish_ema,1,-26.1,0.0,-26.1,-26.1,1
close_ema_crossover,1,20.8,100.0,20.8,20.8,1
trend_zones,1,-82.1,0.0,-82.1,-82.1,1
close_rsi_reverse,1,-97.7,0.0,-97.7,-97.7,1
green_candles,1,-94.9,0.0,-94.9,-94.9,1
