fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,2763,-8.94,4829.16,45.06,4.66,1.12,85.59
10-30,46,1020.52,6782.16,84.78,5.22,115.04,74.29
30-100,9,1164.16,2583.18,100.0,2.82,176.13,74.64
