periodo,buy_hold_%,max_drawdown_%
intero,7946.7,84.0
stima 2017-2021,4744.1,84.0
verifica 2022-2026,67.0,67.5
walk-forward 2019-2026,1970.1,77.3
2017,1333.9,40.6
2018,-73.2,81.8
2019,90.7,53.4
2020,305.6,62.8
2021,61.8,55.0
2022,-64.3,67.5
2023,157.4,22.1
2024,119.1,32.4
2025,-6.3,35.9
2026,-11.5,40.6
