periodo,buy_hold_%,max_drawdown_%
intero,2382.9,96.3
stima 2017-2021,5053.6,74.7
verifica 2022-2026,-54.3,94.6
walk-forward 2019-2026,2382.9,96.3
2020,-54.3,74.7
2021,9128.1,58.1
2022,-94.4,94.6
2023,918.2,44.9
2024,72.2,38.2
2025,-35.8,59.8
2026,-35.5,57.6
