soglia,operazioni,precisione_%,netto_medio_%,caso_p95_%,percentile_nel_caso,composto_seq
nessuna,802,35.7,0.146,0.146,7.2,0.42
0.45,275,38.5,0.818,0.716,96.8,4.59
0.5,217,38.2,1.062,0.886,97.8,5.38
0.55,164,37.8,0.51,0.905,78.2,1.66
0.6,116,37.1,0.694,1.164,81.8,1.77
