strategia,coppie,mediana_solo_long_%,mediana_con_short_%,short_migliora_%,sharpe_solo_long,sharpe_con_short,contributo_short_mediano_%,win_rate_short_%
band_reversion_gated,72,0.0,0.0,19.4,0.21,-0.38,-45.7,46.5
donchian_breakout,128,199.7,25.2,3.9,0.64,0.4,-30.2,36.7
ichimoku_trend,6,434.9,443.6,50.0,0.77,0.75,52.1,35.6
squeeze_breakout,54,25.9,-21.6,16.7,0.29,0.03,-33.6,39.4
trend_pullback,36,17.8,-68.3,0.0,0.25,-0.19,-119.2,52.0
