strategia,coppie,mediana_solo_long_%,mediana_con_short_%,short_migliora_%,sharpe_solo_long,sharpe_con_short,contributo_short_mediano_%,win_rate_short_%
band_reversion_gated,72,-5.6,-17.6,2.8,-0.4,-0.83,-54.8,35.7
donchian_breakout,128,114.1,-4.8,3.9,0.69,0.23,-51.2,34.6
ichimoku_trend,6,900.5,979.0,50.0,1.59,1.34,6.7,31.4
squeeze_breakout,54,35.5,-5.9,7.4,0.58,0.16,-45.8,32.1
trend_pullback,36,-23.8,-61.4,0.0,-0.07,-0.37,-64.3,46.3
