griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,92,265.7,-71.5,-54.5,0.0,22.9,-66.1,35.9,0.43,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=60, num_cond=1"
close_atr,67,70.9,-73.6,-53.7,0.0,47.6,-22.7,4.5,-0.45,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,46,733.6,-82.5,-78.6,0.0,257.2,57.4,4.3,-0.58,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,24,3323.0,-32.4,12.2,80.0,486.1,13.4,8.3,-0.27,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
tp_sl_atr,58,4026.6,32.6,11.4,50.0,213.3,-5.7,70.7,0.01,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,1105.1,98.0,54.8,100.0,171.9,63.8,78.3,0.01,"rsi_window=5, rsi_window2=21, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,528.6,198.8,198.8,100.0,198.8,198.8,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,2,36.3,-47.7,-54.3,0.0,-47.7,-54.3,50.0,1.0,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
