strategia,coppie,mediana_solo_long_%,mediana_con_short_%,short_migliora_%,sharpe_solo_long,sharpe_con_short,contributo_short_mediano_%,win_rate_short_%
band_reversion_gated,72,0.0,0.0,26.4,-0.03,-0.2,10.0,51.0
donchian_breakout,128,-13.4,-39.4,4.7,0.0,-0.16,-33.8,38.0
ichimoku_trend,6,28.2,5.5,16.7,0.29,0.19,-5.1,31.1
squeeze_breakout,54,-1.9,-40.6,18.5,0.05,-0.2,-43.6,31.2
trend_pullback,36,-9.9,-28.5,16.7,-0.02,-0.11,-17.2,54.8
