periodo,buy_hold_%,max_drawdown_%
intero,580.4,94.1
stima 2017-2021,1093.7,94.1
verifica 2022-2026,-43.7,76.2
walk-forward 2019-2026,1495.6,81.1
2017,138.3,49.0
2018,-82.1,94.1
2019,-1.6,65.6
2020,465.6,63.5
2021,393.6,60.1
2022,-67.9,76.2
2023,91.1,27.7
2024,46.8,45.3
2025,-11.4,61.8
2026,-29.7,54.1
