strategia,filtro,senza_mediana_%,con_mediana_%,senza_in_utile_%,con_in_utile_%,senza_trade_anno,con_trade_anno
band_reversion_gated,filtro di range (ADX),-5.4,-6.7,30.6,13.9,5.9,1.0
band_reversion_gated,filtro di trend,-18.7,0.0,6.9,29.2,3.2,0.9
donchian_breakout,filtro di trend (EMA lunga),32.7,49.1,74.2,89.8,17.1,15.8
donchian_breakout,filtro ADX,21.4,51.3,73.4,84.9,21.3,15.2
ichimoku_trend,conferma della nuvola,-33.0,61.7,33.3,83.3,58.5,24.2
squeeze_breakout,conferma di volume (OBV),-23.7,-13.0,13.0,29.6,27.3,22.1
trend_pullback,filtro di trend (EMA lunga),-46.9,-30.9,16.7,22.2,113.0,52.0
