periodo,buy_hold_%,max_drawdown_%
intero,1480.6,83.9
stima 2017-2021,962.5,83.9
verifica 2022-2026,46.9,67.2
walk-forward 2019-2026,1761.7,77.0
2017,215.3,39.6
2018,-72.4,81.4
2019,94.8,52.6
2020,300.3,56.0
2021,57.9,54.1
2022,-64.7,67.2
2023,155.8,21.2
2024,121.1,30.0
2025,-6.6,34.4
2026,-21.7,40.0
