fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,1412,58.4,2857.74,74.72,3.1,2.53,55.15
10-30,1303,97.43,1504.52,87.87,1.26,15.99,62.59
30-100,260,-5.4,1552.14,48.08,0.23,24.17,69.85
100-300,23,320.61,834.6,95.65,0.22,484.87,75.79
