famiglia,strategia,configurazioni,scelta_in_stima_%,resa_in_verifica_%,prime5_mediana_%,mediana_verifica_%,rho
nuova,donchian_breakout,256,787.5,23.4,19.7,-1.0,0.14
nuova,squeeze_breakout,108,378.4,17.6,8.4,-13.7,0.44
nuova,band_reversion_gated,72,99.7,9.3,5.8,0.7,0.36
nuova,trend_pullback,72,125.9,-8.9,-15.2,-17.4,0.61
nuova,ichimoku_trend,12,1515.8,-9.2,4.8,-3.8,0.43
