famiglia,strategia,configurazioni,scelta_in_stima_%,resa_in_verifica_%,prime5_mediana_%,mediana_verifica_%,rho
nuova,band_reversion_gated,26,107.2,-4.7,0.9,-3.3,0.59
nuova,ichimoku_trend,11,31.8,-39.1,-2.1,-4.5,-0.2
nuova,donchian_breakout,214,97.4,-41.0,-44.5,11.6,-0.15
nuova,squeeze_breakout,76,206.9,-46.0,-36.6,5.0,0.0
nuova,trend_pullback,72,113.9,-51.5,-17.5,-6.3,0.03
