strategia,coppie,mediana_solo_long_%,mediana_con_short_%,short_migliora_%,sharpe_solo_long,sharpe_con_short,contributo_short_mediano_%,win_rate_short_%
band_reversion_gated,72,0.0,0.0,1.4,-0.05,-0.45,-63.9,42.9
donchian_breakout,128,18.2,16.7,45.3,0.26,0.27,10.2,44.9
ichimoku_trend,6,54.6,-9.3,33.3,0.4,0.16,-27.5,27.6
squeeze_breakout,54,-8.5,-10.9,35.2,-0.06,0.06,-19.9,36.4
trend_pullback,36,-26.1,-56.7,2.8,-0.09,-0.2,-28.2,52.8
