periodo,buy_hold_%,max_drawdown_%
intero,1481.7,94.1
stima 2017-2021,1481.7,94.1
walk-forward 2019-2026,-4.8,67.3
2017,8902.3,64.7
2018,-81.4,94.1
2019,-4.8,67.3
