fascia,configurazioni,mediana_rendimento,migliore,in_utile_pct,mediana_trade_medio,mediana_commissioni,mediana_drawdown
<10,315,-2.52,13230.25,40.0,-0.18,5.03,61.35
10-30,267,19.52,3392.43,53.18,0.37,48.05,79.77
30-100,596,-64.8,6695.26,22.48,-0.07,101.35,89.77
100-300,1308,-90.49,20019.51,4.2,-0.09,215.81,95.8
300-1000,584,-99.63,7305.61,1.54,-0.11,310.96,99.86
>1000,57,-100.0,-100.0,0.0,-0.2,95.77,100.0
